"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"29.07.2022","1.721,11","1.674,05","1.721,11","1.674,05","35,26M","3,24%"
"28.07.2022","1.667,17","1.661,43","1.679,66","1.652,86","43,98M","0,93%"
"27.07.2022","1.651,89","1.658,09","1.670,03","1.632,23","24,17M","-0,17%"
"26.07.2022","1.654,70","1.677,62","1.683,51","1.646,30","18,82M","-1,83%"
"25.07.2022","1.685,62","1.699,55","1.708,72","1.682,95","14,53M","-0,95%"
"22.07.2022","1.701,73","1.677,44","1.710,51","1.677,44","19,75M","1,11%"
"21.07.2022","1.683,09","1.697,09","1.702,40","1.665,34","17,54M","-0,68%"
"20.07.2022","1.694,58","1.688,47","1.701,91","1.678,74","18,26M","0,91%"
"19.07.2022","1.679,27","1.664,93","1.681,28","1.648,39","15,73M","0,59%"
"18.07.2022","1.669,48","1.632,83","1.670,33","1.632,83","17,50M","3,05%"
"15.07.2022","1.620,13","1.618,23","1.634,31","1.607,84","14,35M","0,38%"
"14.07.2022","1.613,98","1.655,76","1.660,85","1.601,32","22,61M","-2,52%"
"13.07.2022","1.655,65","1.663,76","1.678,86","1.643,36","21,09M","-0,47%"
"12.07.2022","1.663,46","1.707,70","1.707,70","1.663,05","28,02M","-2,98%"
"11.07.2022","1.714,56","1.713,21","1.725,66","1.700,85","26,76M","-1,49%"
"08.07.2022","1.740,46","1.707,55","1.742,95","1.698,13","21,82M","1,85%"
"07.07.2022","1.708,80","1.664,01","1.716,56","1.664,01","21,44M","3,26%"
"06.07.2022","1.654,84","1.649,50","1.668,17","1.629,79","27,22M","0,63%"
"05.07.2022","1.644,46","1.701,53","1.706,10","1.634,50","21,42M","-2,87%"
"04.07.2022","1.693,10","1.695,14","1.702,40","1.665,59","19,28M","0,25%"
"01.07.2022","1.688,85","1.690,71","1.717,96","1.686,98","17,93M","-0,42%"
"30.06.2022","1.695,97","1.720,32","1.720,32","1.689,04","24,27M","-2,15%"